type_of_product,product,price_sar,unit_of_measurement,total_quantity
H7-Carpet shampoo,Carpet shampoo,52.0,mL,5000.0
H7-Carpet shampoo,Carpet shampoo,174.0,mL,1000.0
H7-Carpet shampoo,Carpet shampoo,5.75,mL,3750.0
H11-Aerosol air freshener,Air freshener,24.0,mL,200.0
H7-Fabric freshener for furnitures,Fabric refresher,10.0,mL,750.0
H7-Fabric freshener for furnitures,Fabric refresher,52.0,mL,270.0
H7-Fabric freshener for furnitures,Fabric refresher,36.0,mL,370.0
H11-Odor neutralizing spray,Odor eliminator,39.0,mL,500.0
H7-Fabric freshener for furnitures,Fabric refresher,137.0,mL,532.0
H7-Fabric freshener for furnitures,Fabric refresher,67.0,mL,236.0
H7-Fabric freshener for furnitures,Fabric refresher,32.0,mL,473.0
H11-Odor neutralizing spray,Odor eliminator,41.0,mL,236.0
H7-Fabric freshener for furnitures,Fabric refresher,5.75,mL,500.0
H7-Carpet shampoo,Carpet shampoo,53.0,mL,650.0
H7-Spot remover for carpets,Stain remover,47.0,mL,650.0
H7-Spot remover for carpets,Stain remover,165.0,mL,1000.0
H7-Spot remover for carpets,Stain remover,124.0,mL,396.0
H7-Spot remover for carpets,Stain remover,109.0,mL,450.0
H7-Spot remover for carpets,Stain remover,114.0,mL,454.0
H7-Spot remover for carpets,Stain remover,52.0,mL,532.0
H7-Spot remover for carpets,Stain remover,109.0,mL,502.0
H7-Spot remover for carpets,Stain remover,94.0,mL,709.0
H7-Spot remover for carpets,Stain remover,30.0,mL,500.0
H7-Upholstery stain remover,Stain remover,43.0,mL,250.0
H7-Upholstery stain remover,Stain remover,111.0,mL,650.0
H7-Upholstery stain remover,Stain remover,210.0,mL,1300.0
H7-Upholstery stain remover,Stain remover,55.0,mL,500.0
H7-Upholstery stain remover,Stain remover,18.0,mL,1000.0
H7-Upholstery stain remover,Stain remover,168.0,mL,425.0
H7-Upholstery stain remover,Stain remover,50.0,mL,623.0
H7-Upholstery stain remover,Stain remover,90.0,mL,1042.0
H7-Upholstery stain remover,Stain remover,48.0,mL,652.0
H7-Upholstery stain remover,Stain remover,41.0,mL,400.0
H8-Disinfectant wipes,Cleaning wet wipes,24.0,mL,219.0
H8-Disinfectant wipes,Cleaning wet wipes,31.75,mL,232.0
H8-Disinfectant wipes,Cleaning wet wipes,35.0,mL,461.0
H8-Disinfectant wipes,Cleaning wet wipes,243.0,mL,1275.0
H8-Disinfectant wipes,Cleaning wet wipes,126.0,mL,315.0
H8-Disinfectant wipes,Cleaning wet wipes,49.75,mL,1000.0
H8-Disinfectant wipes,Cleaning wet wipes,188.0,units,30.0
H8-Disinfectant wipes,Cleaning wet wipes,235.0,units,300.0
H8-Disinfectant wipes,Cleaning wet wipes,78.0,mL,280.0
H8-Disinfectant wipes,Cleaning wet wipes,181.0,units,90.0
H8-Germicidal spray,Disinfectant and cleaner,18.72,mL,300.0
H8-Germicidal spray,Disinfectant and cleaner,23.34,mL,400.0
H8-Germicidal spray,Disinfectant and cleaner,144.0,mL,1000.0
H8-Germicidal spray,Disinfectant and cleaner,67.0,mL,510.0
H8-Germicidal spray,Disinfectant and cleaner,15.0,mL,496.0
H8-Germicidal spray,Disinfectant and cleaner,31.84,mL,550.0
H8-Germicidal spray,Disinfectant and cleaner,16.09,mL,300.0
H8-Germicidal spray,Disinfectant and cleaner,22.47,mL,400.0
H8-Germicidal spray,Disinfectant and cleaner,37.47,mL,500.0
H8-Germicidal spray,Disinfectant and cleaner,44.97,mL,700.0
H12-Hand soap,Hand soap,40.0,mL,400.0
H8-Hand sanitizer,Hand sanitizer,14.87,mL,60.0
H8-Surface disinfectant spray,Disinfectant and cleaner,60.0,mL,4000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,40.0,mL,450.0
H8-Surface disinfectant spray,Disinfectant and cleaner,46.0,mL,450.0
H8-Surface disinfectant spray,Disinfectant and cleaner,20.0,mL,538.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,1500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,1500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,750.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,225.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,3000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,3000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,1500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,3000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,3000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,3000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,5.75,mL,4000.0
H9-Bleach,Bleach,14.51,mL,4000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,28.13,mL,500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,51.0,mL,450.0
H8-Surface disinfectant spray,Disinfectant and cleaner,17.63,mL,500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,75.0,mL,2000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,19.88,mL,300.0
H8-Surface disinfectant spray,Disinfectant and cleaner,37.13,mL,450.0
H8-Surface disinfectant spray,Disinfectant and cleaner,26.75,mL,500.0
H11-Odor neutralizing spray,Odor eliminator,22.89,mL,768.0
H11-Odor neutralizing spray,Odor eliminator,36.17,mL,100.0
H8-Surface disinfectant spray,Disinfectant and cleaner,36.64,mL,739.0
H8-Surface disinfectant spray,Disinfectant and cleaner,36.3,mL,946.0
H8-Surface disinfectant spray,Disinfectant and cleaner,36.8,mL,450.0
H8-Surface disinfectant spray,Disinfectant and cleaner,36.09,mL,2000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,26.85,mL,750.0
H8-Surface disinfectant spray,Disinfectant and cleaner,19.65,mL,250.0
H8-Surface disinfectant spray,Disinfectant and cleaner,34.5,mL,200.0
H11-Odor neutralizing spray,Odor eliminator,21.85,mL,500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,18.1,mL,250.0
H8-Surface disinfectant spray,Disinfectant and cleaner,47.15,mL,450.0
H8-Surface disinfectant spray,Disinfectant and cleaner,44.85,mL,500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,36.8,mL,350.0
H8-Surface disinfectant spray,Disinfectant and cleaner,24.0,mL,750.0
H8-Surface disinfectant spray,Disinfectant and cleaner,26.25,mL,3000.0
H8-Surface disinfectant spray,Disinfectant and cleaner,31.13,mL,4500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,18.0,mL,1500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,34.13,mL,2000.0
H8-Surface sanitizer spray,Disinfectant and cleaner,17.63,mL,500.0
H8-Surface disinfectant spray,Disinfectant and cleaner,95.0,mL,354.0
H8-Surface disinfectant spray,Disinfectant and cleaner,77.0,mL,473.0
H8-Surface disinfectant spray,Disinfectant and cleaner,32.46,mL,768.0
H8-Surface sanitizer spray,Disinfectant and cleaner,23.0,mL,120.0
H8-Dust mite spray,Bug repellent,14.0,mL,300.0
H8-Dust mite spray,Bug repellent,137.0,mL,354.0
H8-Dust mite spray,Bug repellent,15.0,mL,266.0
H8-Dust mite spray,Bug repellent,39.0,mL,354.0
H8-Dust mite spray,Bug repellent,39.0,mL,473.0
H8-Dust mite spray,Bug repellent,124.0,mL,312.0
H8-Dust mite spray,Bug repellent,103.0,mL,340.0
H8-Dust mite spray,Bug repellent,47.0,mL,473.0
H8-Dust mite spray,Bug repellent,46.0,mL,354.0
H8-Hand sanitizer,Hand sanitizer,14.0,mL,236.0
H8-Hand sanitizer,Hand sanitizer,15.0,mL,500.0
H8-Hand sanitizer,Hand sanitizer,8.0,mL,29.0
H8-Hand sanitizer,Hand sanitizer,23.0,mL,473.0
H8-Hand sanitizer,Hand sanitizer,13.0,mL,59.0
H8-Hand sanitizer,Hand sanitizer,17.0,mL,236.0
H8-Hand sanitizer,Hand sanitizer,26.0,mL,236.0
H8-Hand sanitizer,Hand sanitizer,13.0,mL,500.0
H8-Dust mite spray,Bug repellent,157.0,mL,368.0
H9-Bleach,Bleach,23.0,mL,3780.0
H9-Bleach,Bleach,24.0,mL,3790.0
H9-Bleach,Bleach,29.0,mL,3790.0
H9-Bleach,Bleach,71.0,mL,500.0
H9-Bleach,Bleach,5.75,mL,3780.0
H9-Bleach,Bleach,5.75,mL,3780.0
H9-Bleach,Bleach,5.75,mL,3780.0
H9-Bleach,Bleach,5.75,mL,3780.0
H9-Bleach,Bleach,5.75,mL,950.0
H9-Bleach,Bleach,46.0,mL,3000.0
H9-Bleach,Bleach,5.75,mL,3780.0
H9-Bleach,Bleach,6.5,mL,950.0
H9-Bleach,Bleach,13.0,mL,1890.0
H9-Bleach,Bleach,12.0,mL,1890.0
H9-Bleach,Bleach,3.5,mL,470.0
H9-Bleach,Bleach,24.0,mL,3780.0
H9-Bleach,Bleach,10.0,mL,495.0
H9-Bleach,Bleach,21.75,mL,3780.0
H9-Bleach,Bleach,5.5,mL,950.0
H9-Fabric refresher,Fabric refresher,69.0,mL,500.0
H9-Fabric refresher,Fabric refresher,52.75,mL,804.4
H9-Fabric refresher,Fabric refresher,80.0,mL,156.0
H9-Fabric refresher,Fabric refresher,35.85,mL,370.0
H9-Fabric refresher,Fabric refresher,87.19,mL,500.0
H9-Fabric refresher,Fabric refresher,23.95,mL,200.0
H9-Fabric refresher,Fabric refresher,21.39,mL,375.0
H9-Fabric refresher,Fabric refresher,39.0,mL,800.0
H9-Fabric refresher,Fabric refresher,23.0,mL,370.0
H9-Fabric refresher,Fabric refresher,38.55,mL,591.0
H9-Fabric refresher,Fabric refresher,75.0,mL,500.0
H11-Odor neutralizing spray,Odor eliminator,43.38,mL,325.0
H11-Odor neutralizing spray,Odor eliminator,559.0,mL,11340.0
H9-Scent booster for laundry,Scent booster,229.0,mL,2500.0
H9-Scent booster for laundry,Scent booster,38.3,mL,800.0
H9-Fabric refresher,Fabric refresher,25.03,mL,750.0
H9-Scent booster for laundry,Scent booster,22.75,mL,400.0
H9-Scent booster for laundry,Scent booster,504.86,mL,6000.0
H9-Scent booster for laundry,Scent booster,23.0,mL,2000.0
H9-Fabric refresher,Fabric refresher,48.0,mL,200.0
H9-Fabric refresher,Fabric refresher,34.88,mL,50.0
H9-Stain remover for laundry,Stain remover,28.0,mL,500.0
H9-Dryer sheets,Dryer sheets,110.0,units,160.0
H9-Dryer sheets,Dryer sheets,49.0,units,105.0
H9-Dryer sheets,Dryer sheets,72.0,units,240.0
H9-Dryer sheets,Dryer sheets,80.0,units,240.0
H9-Dryer sheets,Dryer sheets,50.0,units,144.0
H9-Dryer sheets,Dryer sheets,201.0,units,120.0
H9-Dryer sheets,Dryer sheets,54.0,units,80.0
H9-Dryer sheets,Dryer sheets,29.0,units,80.0
H9-Dryer sheets,Dryer sheets,154.0,units,240.0
H9-Dryer sheets,Dryer sheets,235.0,units,230.0
H9-Fabric softener,Fabric softener,33.0,mL,3000.0
H9-Fabric softener,Fabric softener,11.5,mL,2000.0
H9-Fabric softener,Fabric softener,17.0,mL,2000.0
H9-Fabric softener,Fabric softener,17.0,mL,1000.0
H9-Fabric softener,Fabric softener,11.5,mL,2000.0
H9-Fabric softener,Fabric softener,5.75,mL,750.0
H9-Fabric softener,Fabric softener,11.5,mL,2000.0
H9-Fabric softener,Fabric softener,19.0,mL,3000.0
H9-Fabric softener,Fabric softener,23.0,mL,3000.0
H9-Fabric softener,Fabric softener,11.5,mL,3000.0
H9-Fabric softener,Fabric softener,24.5,mL,3900.0
H9-Fabric softener,Fabric softener,5.75,mL,2000.0
H9-Liquid detergent,Detergent (liquid),5.75,mL,1000.0
H9-Fabric softener,Fabric softener,5.75,mL,1800.0
H9-Fabric softener,Fabric softener,5.75,mL,2000.0
H9-Fabric softener,Fabric softener,5.75,mL,2000.0
H9-Liquid detergent,Detergent (liquid),5.75,mL,700.0
H9-Fabric softener,Fabric softener,5.75,mL,1500.0
H9-Fabric softener,Fabric softener,5.75,mL,1000.0
H9-Fabric softener,Fabric softener,5.75,mL,1000.0
H9-Liquid detergent,Detergent (liquid),5.75,mL,2000.0
H9-Fabric softener,Fabric softener,5.75,mL,1000.0
H9-Liquid detergent,Detergent (liquid),12.0,mL,1000.0
H9-Fabric softener,Fabric softener,12.0,mL,1000.0
H9-Fabric softener,Fabric softener,18.0,mL,2000.0
H9-Fabric softener,Fabric softener,27.0,mL,3000.0
H9-Fabric softener,Fabric softener,19.5,mL,2000.0
H9-Fabric softener,Fabric softener,34.0,mL,1800.0
H9-Fabric softener,Fabric softener,15.0,mL,700.0
H9-Fabric softener,Fabric softener,23.0,mL,1000.0
H9-Liquid detergent,Detergent (liquid),29.0,mL,950.0
H9-Fabric softener,Fabric softener,9.0,mL,900.0
H9-Fabric softener,Fabric softener,14.0,mL,3000.0
H9-Liquid detergent,Detergent (liquid),38.0,mL,1400.0
H9-Liquid detergent,Detergent (liquid),43.0,mL,1800.0
H9-Fabric refresher,Fabric refresher,51.0,mL,1840.0
H9-Liquid detergent,Detergent (liquid),43.95,mL,4800.0
H9-Liquid detergent,Detergent (liquid),23.95,mL,2000.0
H9-Liquid detergent,Detergent (liquid),45.9,mL,3600.0
H9-Liquid detergent,Detergent (liquid),31.05,mL,500.0
H9-Liquid detergent,Detergent (liquid),48.9,mL,3000.0
H9-Liquid detergent,Detergent (liquid),39.0,mL,6000.0
H9-Liquid detergent,Detergent (liquid),52.9,mL,1000.0
H9-Liquid detergent,Detergent (liquid),262.27,mL,5000.0
H9-Liquid detergent,Detergent (liquid),26.07,mL,1000.0
H9-Liquid detergent,Detergent (liquid),26.07,mL,1000.0
H9-Liquid detergent,Detergent (liquid),65.05,mL,940.0
H9-Liquid detergent,Detergent (liquid),58.81,mL,1480.0
H9-Liquid detergent,Detergent (liquid),106.66,mL,1890.0
H9-Liquid detergent,Detergent (liquid),39.39,mL,750.0
H9-Liquid detergent,Detergent (liquid),53.23,mL,750.0
H9-Powder detergent,Detergent (powder),88.0,mL,9000.0
H9-Powder detergent,Detergent (powder),5.75,mL,1300.0
H9-Powder detergent,Detergent (powder),55.0,mL,8000.0
H9-Powder detergent,Detergent (powder),69.0,mL,5000.0
H9-Powder detergent,Detergent (powder),85.0,mL,2000.0
H9-Powder detergent,Detergent (powder),108.0,mL,3000.0
H9-Powder detergent,Detergent (powder),86.0,mL,473.0
