External ID,Product_ID,Product_Name,Label_Product_Name,Presentation,Volume_Liters,Pack_quantity_Units,Type_of_product,Category,Generic product type,SubIndustry,Industry, Bottle , Label ,Liquid, Microfibers , Plastic bag , Labor , Shipping , Other costs , Unit_cost_SAR 
product_template_525,FP-FMN-01703,WAYAKIT GreenTech Facilities Management degreaser for food service areas [Box of 12 units 700 mL],degreaser for food service areas,Box of 12 units 700 mL,8.4,0.0,F6-FM degreaser for food service areas,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,18,14.52,8.673,0,0,12,,,53.193
product_template_526,FP-FMN-01800,WAYAKIT GreenTech Facilities Management grill cleaner [700 mL],grill cleaner,700 mL,0.7,0.0,F6-FM grill cleaner,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,1.5,1.21,0.72275,0,0,1,,,4.43275
product_template_527,FP-FMN-01801,WAYAKIT GreenTech Facilities Management grill cleaner [4 L],grill cleaner,4 L,4.0,0.0,F6-FM grill cleaner,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,4,4.84,4.13,0,0,1,,,13.97
product_template_528,FP-FMN-01802,WAYAKIT GreenTech Facilities Management grill cleaner [20 L],grill cleaner,20 L,20.0,0.0,F6-FM grill cleaner,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,8,4.84,20.65,0,0,1,,,34.49
product_template_529,FP-FMN-01803,WAYAKIT GreenTech Facilities Management grill cleaner [Box of 12 units 700 mL],grill cleaner,Box of 12 units 700 mL,8.4,0.0,F6-FM grill cleaner,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,18,14.52,8.673,0,0,12,,,53.193
product_template_530,FP-FMN-01900,WAYAKIT GreenTech Facilities Management oven and appliance cleaner [700 mL],oven and appliance cleaner,700 mL,0.7,0.0,F6-FM oven and appliance cleaner,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,1.5,1.21,0.72275,0,0,1,,,4.43275
product_template_531,FP-FMN-01901,WAYAKIT GreenTech Facilities Management oven and appliance cleaner [4 L],oven and appliance cleaner,4 L,4.0,0.0,F6-FM oven and appliance cleaner,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,4,4.84,4.13,0,0,1,,,13.97
product_template_532,FP-FMN-01902,WAYAKIT GreenTech Facilities Management oven and appliance cleaner [20 L],oven and appliance cleaner,20 L,20.0,0.0,F6-FM oven and appliance cleaner,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,8,4.84,20.65,0,0,1,,,34.49
product_template_533,FP-FMN-01903,WAYAKIT GreenTech Facilities Management oven and appliance cleaner [Box of 12 units 700 mL],oven and appliance cleaner,Box of 12 units 700 mL,8.4,0.0,F6-FM oven and appliance cleaner,Facilities management - 6. Kitchen and food service cleaners,Degreaser,Facilities management,Facilities management,18,14.52,8.673,0,0,12,,,53.193
product_template_534,FP-FMN-02000,WAYAKIT GreenTech Facilities Management food-safe surface sanitizers [700 mL],food-safe surface sanitizers,700 mL,0.7,0.0,F6-FM food-safe surface sanitizers,Facilities management - 6. Kitchen and food service cleaners,Disinfectant and cleaner,Facilities management,Facilities management,1.5,1.21,0.931,0,0,1,,,4.641
product_template_535,FP-FMN-02001,WAYAKIT GreenTech Facilities Management food-safe surface sanitizers [4 L],food-safe surface sanitizers,4 L,4.0,0.0,F6-FM food-safe surface sanitizers,Facilities management - 6. Kitchen and food service cleaners,Disinfectant and cleaner,Facilities management,Facilities management,4,4.84,5.32,0,0,1,,,15.16
product_template_536,FP-FMN-02002,WAYAKIT GreenTech Facilities Management food-safe surface sanitizers [20 L],food-safe surface sanitizers,20 L,20.0,0.0,F6-FM food-safe surface sanitizers,Facilities management - 6. Kitchen and food service cleaners,Disinfectant and cleaner,Facilities management,Facilities management,8,4.84,26.6,0,0,1,,,40.44
product_template_537,FP-FMN-02003,WAYAKIT GreenTech Facilities Management food-safe surface sanitizers [Box of 12 units 700 mL],food-safe surface sanitizers,Box of 12 units 700 mL,8.4,0.0,F6-FM food-safe surface sanitizers,Facilities management - 6. Kitchen and food service cleaners,Disinfectant and cleaner,Facilities management,Facilities management,18,14.52,11.172,0,0,12,,,55.692
product_template_538,FP-FMN-02100,WAYAKIT GreenTech Facilities Management air freshener [700 mL],air freshener,700 mL,0.7,0.0,F7-FM air freshener,Facilities management - 7. Air care and odor control,Air freshener,Facilities management,Facilities management,1.5,1.21,1.708,0,0,1,,,5.418
product_template_539,FP-FMN-02101,WAYAKIT GreenTech Facilities Management air freshener [4 L],air freshener,4 L,4.0,0.0,F7-FM air freshener,Facilities management - 7. Air care and odor control,Air freshener,Facilities management,Facilities management,4,4.84,9.76,0,0,1,,,19.6
product_template_540,FP-FMN-02102,WAYAKIT GreenTech Facilities Management air freshener [20 L],air freshener,20 L,20.0,0.0,F7-FM air freshener,Facilities management - 7. Air care and odor control,Air freshener,Facilities management,Facilities management,8,4.84,48.8,0,0,1,,,62.64
