Quotation date,Customer name,Channel (B2B or B2C),product_code,Odoo sales order,WAYAKIT Product name,Generic product type,Subindustry,Industry,Volume (L),Cost per unit (SAR),Predicted model price per unit (SAR),Predicted price per mL,Prediction message,Prediction case,Quoted quantity,quoted_price,Total quoted price (SAR),Quoted unit profit (SAR),Quoted margin (%),Price per liter,Total volume [L],Total profit,Absolute price difference (Quoted-Predicted),Percentage price difference (quoted/predicted),Notes about prediction vs quoted,"Accepted quoted price by client (Yes, No, Pending)",Confirmed order,Invoice date,Sold quantity,Sold price per unit (SAR),Total sold price (SAR),Sold unit profit (SAR),Sold margin (%),Absolute price difference (Sold-Predicted),Percentage price difference (sold/predicted),suggested_price,percentage_difference,Luisa_Javier_Prediction_Note
16/07/2025,Diplomat Sweets,B2B,FP-RES-02201,,WAYAKIT GreenTech Food Services Gel hand sanitizer [4 L],Hand sanitizer,Restaurants,Horeca,4.0, SAR 55.24 , SAR 71.81 , SAR 0.018 ,"Price based on median generic product type - B2B: 0.0135 SAR/ml = 54.00 SAR, B2C: 0.0540 SAR/ml = 215.90 SAR. Low predicted price. Using minimum viable price with 30% profit margin.",3,4.0,70.0, SAR 280.00 , SAR 14.76 ,21%, SAR 17.50 , 16.0 , SAR 59.04 , SAR (1.81),-3%,Well prediction,Pending,,,,,  ,  ,,  ,,89.41,-0.21708981098311148,Wrong prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-02301,,WAYAKIT GreenTech Food Services Liquid hand sanitizer [4 L],Hand sanitizer,Restaurants,Horeca,4.0, SAR 55.64 , SAR 72.33 , SAR 0.018 ,"Price based on median generic product type - B2B: 0.0135 SAR/ml = 54.00 SAR, B2C: 0.0540 SAR/ml = 215.90 SAR. Low predicted price. Using minimum viable price with 30% profit margin.",3,4.0,72.0, SAR 288.00 , SAR 16.36 ,23%, SAR 18.00 , 16.0 , SAR 65.44 , SAR (0.33),0%,Well prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
16/07/2025,Diplomat Sweets,B2B,FP-RES-02401,,WAYAKIT GreenTech Food Services Grill degreaser for freezing [4 L],Degreaser,Restaurants,Horeca,4.0, SAR 13.97 , SAR 44.55 , SAR 0.011 ,Price based on direct competition - Price viable with 218.9% profit margin,1,2.0,61.54, SAR 123.08 , SAR 47.57 ,77%, SAR 15.39 , 8.0 , SAR 95.14 , SAR 16.99 ,38%,Well prediction,Pending,,,,,  ,  ,,  ,,59.05,0.04216765453005931,Well prediction
1/7/2025,Saldwich,B2B,FP-RES-01903,,WAYAKIT GreenTech Food Services Heavy-duty toilet and urinal cleaner [Box of 12 units 700 mL],"Toilet, shower and tile cleaner",Restaurants,Horeca,8.4, SAR 72.32 , SAR 199.06 , SAR 0.024 ,"Price based on median generic product type - B2B: 0.0237 SAR/ml = 199.06 SAR, B2C: 0.0317 SAR/ml = 266.07 SAR. Price viable with 175.2% profit margin",3,1.0,162.12, SAR 162.12 , SAR 89.80 ,55%, SAR 19.30 , 8.4 , SAR 89.80 , SAR (36.94),-19%,Wrong prediction,Pending,,,,,  ,  ,,  ,,,,No information for prediction
1/7/2025,Saldwich,B2B,FP-RES-00103,,WAYAKIT GreenTech Food Services Food-grade sanitizer for countertops and prep areas [Box of 12 units 700 mL],Disinfectant and cleaner,Restaurants,Horeca,8.4, SAR 55.69 , SAR 127.09 , SAR 0.015 ,Price based on direct competition - Price viable with 128.2% profit margin,1,1.0,150.6, SAR 150.60 , SAR 94.91 ,63%, SAR 17.93 , 8.4 , SAR 94.91 , SAR 23.51 ,18%,Well prediction,Pending,,,,,  ,  ,,  ,,89.88,0.6755674232309746,Wrong prediction
16/07/2025,SRACO,B2B,FP-FMN-01400,,WAYAKIT GreenTech Facilities Management Restroom air freshener [700 mL],Air freshener,Facilities management,Facilities management,0.7, SAR 5.42 , SAR 25.67 , SAR 0.037 ,"Price based on median generic product type - B2B: 0.0367 SAR/ml = 25.67 SAR, B2C: 0.0983 SAR/ml = 68.78 SAR. Price viable with 373.7% profit margin",3,35637.0,10.44," SAR 372,050.28 ", SAR 5.02 ,48%, SAR 14.91 ," 24,945.9 "," SAR 178,969.01 ", SAR (15.23),-59%,Wrong prediction,Pending,,,,,  ,  ,,  ,,22.62,-0.5384615384615385,Wrong prediction
16/07/2025,SRACO,B2B,FP-FMN-00101,,WAYAKIT GreenTech Facilities Management General purpose cleaner [4 L],General purpose cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 52.00 , SAR 0.013 ,Price based on direct competition - Price viable with 243.0% profit margin,1,27760.0,36.2," SAR 1,004,912.00 ", SAR 21.04 ,58%, SAR 9.05 ," 111,040.0 "," SAR 584,070.40 ", SAR (15.80),-30%,Wrong prediction,Pending,,,,,  ,  ,,  ,,54.45,-0.33516988062442604,Wrong prediction
16/07/2025,SRACO,B2B,FP-FMN-00200,,WAYAKIT GreenTech Facilities Management Wood furniture cleaner [700 mL],Furniture polish,Facilities management,Facilities management,0.7, SAR 11.49 , SAR 24.19 , SAR 0.035 ,Price based on direct competition - Price viable with 110.5% profit margin,1,30093.0,15.75," SAR 473,964.75 ", SAR 4.26 ,27%, SAR 22.50 ," 21,065.1 "," SAR 128,212.73 ", SAR (8.44),-35%,Wrong prediction,Pending,,,,,  ,  ,,  ,,9.86,0.5973630831643003,Wrong prediction
16/07/2025,SRACO,B2B,FP-FMN-01006,,WAYAKIT GreenTech Facilities Management Concentrated broad-spectrum disinfectant for surfaces and touchpoints [20 L],Disinfectant and cleaner,Facilities management,Facilities management,20.0, SAR 279.84 , SAR 363.79 , SAR 0.018 ,Price based on direct competition - Low predicted price. Using minimum viable price with 30% profit margin.,1,1344.0,598.97," SAR 805,015.68 ", SAR 319.13 ,53%, SAR 29.95 ," 26,880.0 "," SAR 428,910.72 ", SAR 235.18 ,65%,Wrong prediction,Pending,,,,,  ,  ,,  ,,382.36,0.5665080029291767,Wrong prediction
16/07/2025,SRACO,B2B,FP-FMN-03700,,WAYAKIT GreenTech FM Empty bottle [700 mL],Other consumables,Facilities management,Facilities management,0.7, SAR 3.21 , SAR 16.02 , SAR 0.023 ,No product type. The median of Facilities management is 0.0229 SAR/ml and the recommended price per ml is 0.0229 SAR/ml. Price viable with 399.2% profit margin,4,4063.0,4.99," SAR 20,274.37 ", SAR 1.78 ,36%, SAR 7.13 ," 2,844.1 "," SAR 7,232.14 ", SAR (11.03),-69%,Wrong prediction,Pending,,,,,  ,  ,,  ,,10.16,-0.5088582677165354,Wrong prediction
